links,names,ratings,cuisine,price_for_one
https://www.zomato.com/hyderabad/sahara-bakers-rtc-x-roads/order,Sahara Bakers,3.7,"Chinese, Bakery, Sichuan, Pizza, Burger",100
https://www.zomato.com/hyderabad/kfc-abids/order,KFC,3.9,"Burger, Fast Food, Biryani, Desserts, Beverages",100
https://www.zomato.com/hyderabad/subbaiah-gari-hotel-malakpet/order,Subbaiah Gari Hotel,4.1,"South Indian, Andhra, Mithai",100
https://www.zomato.com/hyderabad/paradise-biryani-1-charminar/order,Paradise Biryani,3.9,"Biryani, Kebab, Desserts, Beverages",100
https://www.zomato.com/hyderabad/pista-house-bakery-ghansi-bazaar/order,Pista House Bakery,4.3,"Fast Food, Sandwich, Pizza, Burger, Wraps, Rolls, Salad, Desserts",100
https://www.zomato.com/hyderabad/shah-ghouse-hotel-restaurant-tolichowki/order,Shah Ghouse Hotel & Restaurant,4,"North Indian, Chinese, Mughlai, Mandi, Sichuan, Shawarma, Seafood, Beverages",100
https://www.zomato.com/hyderabad/swagath-hotel-3-charminar/order,Swagath Hotel,4.2,"South Indian, Chinese, North Indian",100
https://www.zomato.com/hyderabad/just-parantha-banjara-hills/order,Just Parantha,4.2,North Indian,100
https://www.zomato.com/hyderabad/mehfil-narayanguda/order,Mehfil,4.1,"North Indian, Biryani, Mughlai",100
https://www.zomato.com/hyderabad/cream-stone-begum-bazaar/order,Cream Stone,4.3,"Ice Cream, Desserts",150
https://www.zomato.com/hyderabad/ms-bakery-sweets-falaknuma/order,MS Bakery & Sweets,4.3,"Bakery, Desserts, Fast Food, Pizza",150
https://www.zomato.com/hyderabad/iqbal-cafe-1-charminar/order,Iqbal Cafe,4.4,"Hyderabadi, Biryani",150
https://www.zomato.com/hyderabad/mahalaxmi-tiffin-centre-ghansi-bazaar/order,Mahalaxmi Tiffin Centre,4.1,South Indian,150
https://www.zomato.com/hyderabad/al-naseer-tahari-centre-charminar/order,Al- Naseer Tahari Centre,4.3,Biryani,150
https://www.zomato.com/hyderabad/pizza-hut-kacheguda/order,Pizza Hut,3.7,"Pizza, Fast Food, Desserts, Beverages",150
https://www.zomato.com/hyderabad/andhra-gunpowder-mehdipatnam/order,Andhra Gunpowder,4.3,"Andhra, Biryani, South Indian, Desserts, Beverages, Hyderabadi",150
https://www.zomato.com/hyderabad/burger-king-malakpet/order,Burger King,4.2,"Burger, Fast Food",150
https://www.zomato.com/hyderabad/kinara-grand-meerpet/order,Kinara Grand,4,"North Indian, Chinese, Andhra, Seafood",150
https://www.zomato.com/hyderabad/meridian-restaurant-2-panjagutta/order,Meridian Restaurant,4.1,"Biryani, North Indian, Seafood, Chinese, Kebab",150
https://www.zomato.com/hyderabad/ks-bakers-attapur/order,KS Bakers,4.1,"Bakery, Fast Food, Pizza, Burger",150
https://www.zomato.com/hyderabad/biryani-trip-mehdipatnam/order,Biryani Trip,4.3,"Biryani, South Indian, Mughlai, Andhra, Desserts, Hyderabadi",150
https://www.zomato.com/hyderabad/la-pinoz-pizza-dilsukhnagar/order,La Pino'z Pizza,3.9,"Pizza, Pasta, Fast Food",150
https://www.zomato.com/hyderabad/nic-natural-ice-creams-kothapet/order,NIC - Natural Ice Creams,4.5,"Ice Cream, Desserts",150
